""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"regulation"	"trait"
"hsa-miR-199b-3p"	12.5961321433043	-2.39568824875089	0.522220285268454	-4.58750515123968	4.48574363365405e-06	0.0091374597817533	"Down"	"Family history"
"hsa-miR-196a-5p"	15.2070449235031	1.08684930729879	0.287897445486987	3.77512660961736	0.000159926414305831	0.162885052970489	"none"	"Family history"
"hsa-let-7a-2-3p"	8.02722353949915	-0.237533380215985	0.379147101486967	-0.626493989494866	0.530990978025673	0.999813126449793	"none"	"Family history"
"hsa-let-7a-3p"	126.347443840302	0.20022246980054	0.169322356140877	1.18249281644743	0.237010214195871	0.999813126449793	"none"	"Family history"
"hsa-let-7a-5p"	48.8303612473625	0.128260792280401	0.143180238871304	0.895799541134214	0.37035983501748	0.999813126449793	"none"	"Family history"
"hsa-let-7b-3p"	239.354500727732	0.163664437026903	0.152012227159241	1.07665310932821	0.28163526809198	0.999813126449793	"none"	"Family history"
"hsa-let-7b-5p"	47.8896106283916	0.0322912788111987	0.179178130253154	0.180218862455901	0.856980750775159	0.999813126449793	"none"	"Family history"
"hsa-let-7c-3p"	16.0249399735539	-0.311263105685125	0.288192535728373	-1.08005262835293	0.280118745069737	0.999813126449793	"none"	"Family history"
"hsa-let-7c-5p"	114.794800797292	0.652345021757647	0.835358447707813	0.78091629233852	0.434851729047938	0.999813126449793	"none"	"Family history"
"hsa-let-7d-3p"	279.604521918707	0.0442076139385484	0.155694234906735	0.283938669694673	0.776457381387711	0.999813126449793	"none"	"Family history"
"hsa-let-7d-5p"	3.20461771412203	-0.0308813001973769	0.232889909498825	-0.132600421649151	0.894509398938198	0.999813126449793	"none"	"Family history"
"hsa-let-7e-3p"	3.61888843661192	-0.202354601675203	0.456992964991668	-0.442795879098255	0.657913384295475	0.999813126449793	"none"	"Family history"
"hsa-let-7e-5p"	124.09217438278	-0.618953594766636	0.778340792831435	-0.795221836587823	0.426484471629686	0.999813126449793	"none"	"Family history"
"hsa-let-7f-1-3p"	30.2166823291965	0.318376420069048	0.185688382749531	1.71457371406209	0.0864234114756974	0.999813126449793	"none"	"Family history"
"hsa-let-7f-2-3p"	7.65719960401865	0.0158007500468577	0.243462054924245	0.0649002574621915	0.948253415602826	0.999813126449793	"none"	"Family history"
"hsa-let-7f-5p"	51.0399098163094	0.213596737689673	0.184754962565042	1.15610825671044	0.247636879186258	0.999813126449793	"none"	"Family history"
"hsa-let-7g-3p"	3.52110538403377	0.286048275856464	0.418719342380379	0.683150375213879	0.494511826434112	0.999813126449793	"none"	"Family history"
"hsa-let-7g-5p"	3.07168223065447	-0.00344190523333058	0.236313775611998	-0.0145649792290646	0.988379238814874	0.999813126449793	"none"	"Family history"
"hsa-let-7i-3p"	6.4869784999947	0.226372116047456	0.240372084722159	0.941757094252915	0.346317016570816	0.999813126449793	"none"	"Family history"
"hsa-let-7i-5p"	46.4174041554162	0.165225922133412	0.158516804386095	1.04232433131174	0.297261335365822	0.999813126449793	"none"	"Family history"
"hsa-miR-1-3p"	191.814039412696	-0.260061437423408	0.393050112795622	-0.661649568228553	0.508195832382931	0.999813126449793	"none"	"Family history"
"hsa-miR-1-5p"	5.02629045606818	0.0698796367912334	0.400584708426495	0.174444094647851	0.861516463009952	0.999813126449793	"none"	"Family history"
"hsa-miR-100-5p"	25.1513427128142	0.396924489320926	0.241797041436182	1.64156057064779	0.100681104681044	0.999813126449793	"none"	"Family history"
"hsa-miR-101-3p"	101.804738215526	0.415624071295651	0.757791051966285	0.548467905786439	0.583370660629466	0.999813126449793	"none"	"Family history"
"hsa-miR-101-5p"	36.1396030696272	-0.0556330073616449	0.260095592415179	-0.21389446412779	0.830629357323814	0.999813126449793	"none"	"Family history"
"hsa-miR-103a-2-5p"	4.40838446531928	-0.058773706137842	0.59789425564656	-0.0983011721266403	0.921693147468871	0.999813126449793	"none"	"Family history"
"hsa-miR-103a-3p"	13.4132857204444	0.0116126782717533	0.181765660865773	0.0638881855705895	0.949059259609306	0.999813126449793	"none"	"Family history"
"hsa-miR-103b"	5.93020229984607	0.0124920996705786	0.193053720435676	0.064707893960225	0.94840657752601	0.999813126449793	"none"	"Family history"
"hsa-miR-105-3p"	1.01403331629555	-1.05632190068946	1.21310614777545	-0.870758014561631	0.383886294294177	0.999813126449793	"none"	"Family history"
"hsa-miR-105-5p"	13.3388043619571	0.0334246443958194	0.157736871238695	0.21190127668527	0.832184054562645	0.999813126449793	"none"	"Family history"
"hsa-miR-106a-3p"	2.12906896770767	-0.113016016727604	0.820808795243186	-0.137688603463514	0.890486526726464	0.999813126449793	"none"	"Family history"
"hsa-miR-106a-5p"	54.8542233529818	0.0364683539175813	0.208004477860528	0.175324850179592	0.860824386561197	0.999813126449793	"none"	"Family history"
"hsa-miR-106b-3p"	449.149834518533	-0.103502428536	0.447837843145676	-0.231115860618175	0.817224793659709	0.999813126449793	"none"	"Family history"
"hsa-miR-106b-5p"	24.8592508171362	0.0675103202101241	0.175960196184649	0.383668134464229	0.701224433399553	0.999813126449793	"none"	"Family history"
"hsa-miR-107"	153.4645692838	0.280959122917928	0.828969434795027	0.338925792827812	0.734665633357995	0.999813126449793	"none"	"Family history"
"hsa-miR-10a-3p"	8.01021992555585	-0.0521577401457694	0.186839403780033	-0.279158138436232	0.780123467728664	0.999813126449793	"none"	"Family history"
"hsa-miR-10a-5p"	356.223248704392	0.0471637340525843	0.2001659177838	0.235623199867253	0.813725069371481	0.999813126449793	"none"	"Family history"
"hsa-miR-10b-3p"	6.98189583255036	0.229523909934569	0.281251880551957	0.816079556460666	0.414454635584211	0.999813126449793	"none"	"Family history"
"hsa-miR-10b-5p"	140.784832715112	0.537079105474818	0.231826025594284	2.31673343878463	0.0205182568478932	0.999813126449793	"none"	"Family history"
"hsa-miR-1178-3p"	4.41588709692978	0.0292001630117687	0.331818774982074	0.0880003339574327	0.929876410713865	0.999813126449793	"none"	"Family history"
"hsa-miR-1178-5p"	0.747828766342338	-1.62389226173479	1.34561528095969	-1.20680277989755	0.227508105237491	0.999813126449793	"none"	"Family history"
"hsa-miR-1179"	10.370797559251	0.110674424020472	0.18229146006051	0.607128957021544	0.543765334487192	0.999813126449793	"none"	"Family history"
"hsa-miR-1180-3p"	41.0845217543629	0.00787145327850348	0.221019827061413	0.0356142405102702	0.971589953240429	0.999813126449793	"none"	"Family history"
"hsa-miR-1180-5p"	4.55645513672138	-0.49027481554231	0.526745116698099	-0.930762906005845	0.351976221575725	0.999813126449793	"none"	"Family history"
"hsa-miR-1181"	3.58360874431078	-0.0743732406306415	0.451247665733914	-0.164816898298366	0.869088103022734	0.999813126449793	"none"	"Family history"
"hsa-miR-1182"	1.62341964635726	0.194226210511902	0.730561475398695	0.265858818254693	0.790347942253093	0.999813126449793	"none"	"Family history"
"hsa-miR-1183"	2.42104935087117	0.220263951831237	0.598122767800161	0.368258765071503	0.712680296050861	0.999813126449793	"none"	"Family history"
"hsa-miR-1184"	0.536001818947436	1.08526822419915	1.10571664905903	0.981506632031559	0.326342965535852	0.999813126449793	"none"	"Family history"
"hsa-miR-1185-1-3p"	17.0660821609139	-0.233855581605213	0.290735278355382	-0.804359150798887	0.421189585523034	0.999813126449793	"none"	"Family history"
"hsa-miR-1185-2-3p"	3.34777603373647	-0.356583596997084	0.399614699323603	-0.892318519815825	0.372222230409025	0.999813126449793	"none"	"Family history"
"hsa-miR-1185-5p"	0.769017585543158	-1.57718041691971	1.14387940264269	-1.37879955988014	0.167956562460383	0.999813126449793	"none"	"Family history"
"hsa-miR-1193"	4.76939129997978	-0.298322198664865	0.452378085982699	-0.659453249192698	0.509604757726098	0.999813126449793	"none"	"Family history"
"hsa-miR-1197"	0.864105564667394	1.29635116446097	1.15457163784784	1.122798379906	0.261523133602684	0.999813126449793	"none"	"Family history"
"hsa-miR-1199-3p"	10.4243293885245	0.0574828876815835	0.505234571777797	0.113774652196336	0.909416432708397	0.999813126449793	"none"	"Family history"
"hsa-miR-1199-5p"	9.48454768619575	-0.165481108269842	0.213938684229624	-0.773497831239482	0.439227811765919	0.999813126449793	"none"	"Family history"
"hsa-miR-1200"	2.20523076117757	0.222108067219926	0.758704409263134	0.292746509059623	0.769715917326399	0.999813126449793	"none"	"Family history"
"hsa-miR-1202"	2.77986863787323	-0.194687368135456	0.532700346105866	-0.36547257676601	0.714758673714912	0.999813126449793	"none"	"Family history"
"hsa-miR-1203"	0.753791585600921	0.842799433609904	1.28596201367152	0.655384392890148	0.512220297408606	0.999813126449793	"none"	"Family history"
"hsa-miR-1205"	0.432052524559662	0.370329399471082	1.36535609087176	0.27123283218712	0.786211962659132	0.999813126449793	"none"	"Family history"
"hsa-miR-1207-5p"	0.909941798620632	-0.988261338188887	1.24895904894505	-0.791268007564888	0.428787613300979	0.999813126449793	"none"	"Family history"
"hsa-miR-122-3p"	5.79268764201169	-0.147297372516789	0.419705976380201	-0.350953717140678	0.725623070900907	0.999813126449793	"none"	"Family history"
"hsa-miR-122-5p"	9.4328630467398	-0.187947226427754	0.323842907423407	-0.580365424468053	0.561668216312245	0.999813126449793	"none"	"Family history"
"hsa-miR-1224-3p"	3.14875913175197	0.473565629981074	0.569837026766312	0.831054508108126	0.405942837356289	0.999813126449793	"none"	"Family history"
"hsa-miR-1224-5p"	18.2135210417316	-0.227173682940323	0.263287577768584	-0.862834794051683	0.388228305910864	0.999813126449793	"none"	"Family history"
"hsa-miR-1226-3p"	13.4791636098497	0.0154658332278332	0.154632033384959	0.100017007403186	0.920330823193383	0.999813126449793	"none"	"Family history"
"hsa-miR-1226-5p"	0.677760067978618	-1.16101141771608	1.2130220016503	-0.957123132256906	0.338505109142629	0.999813126449793	"none"	"Family history"
"hsa-miR-1227-3p"	4.05174859213783	0.27531991800061	0.459300263278206	0.599433399048248	0.548883910427887	0.999813126449793	"none"	"Family history"
"hsa-miR-1228-3p"	0.614574933918036	0.69154994644928	1.26728319696851	0.54569487554443	0.585275695039254	0.999813126449793	"none"	"Family history"
"hsa-miR-1229-3p"	8.1572130633999	0.204438681706997	0.200593228146696	1.01917040568034	0.308122073852644	0.999813126449793	"none"	"Family history"
"hsa-miR-1229-5p"	6.96818696557719	-0.215777660484366	0.300763621800343	-0.717432710753851	0.473107142089674	0.999813126449793	"none"	"Family history"
"hsa-miR-1231"	4.31377035025449	0.2373305724261	0.455921745529117	0.52055111376771	0.602679512104777	0.999813126449793	"none"	"Family history"
"hsa-miR-1233-3p"	0.845679620906688	0.95216318205213	1.21421291420833	0.784181399250674	0.432933677917607	0.999813126449793	"none"	"Family history"
"hsa-miR-1234-3p"	0.92771621507429	-1.91266617448247	1.14678200878644	-1.66785505861442	0.0953445029337624	0.999813126449793	"none"	"Family history"
"hsa-miR-1236-3p"	2.47586074170554	0.516846186399013	0.767348420500537	0.673548250821806	0.500598562833332	0.999813126449793	"none"	"Family history"
"hsa-miR-1236-5p"	2.99365602685926	-0.0479226947018772	0.567190082582826	-0.0844914186151678	0.932665725398704	0.999813126449793	"none"	"Family history"
"hsa-miR-1237-3p"	8.02351959482483	-0.0071677668096638	0.424774928635107	-0.0168742699403079	0.986536919457978	0.999813126449793	"none"	"Family history"
"hsa-miR-1237-5p"	2.27582907592893	0.104018761125415	0.812246943747819	0.128062976322765	0.898099135355476	0.999813126449793	"none"	"Family history"
"hsa-miR-1238-3p"	1.06625043376182	-0.133976731708013	1.20373980956401	-0.111300407815322	0.911378132026177	0.999813126449793	"none"	"Family history"
"hsa-miR-1238-5p"	0.27205470010887	0.261255320261171	1.54367839260016	0.169242065907987	0.865606243189464	0.999813126449793	"none"	"Family history"
"hsa-miR-124-5p"	1.54791057766746	-0.121521994916134	0.848872195942364	-0.143156997598711	0.886166190881677	0.999813126449793	"none"	"Family history"
"hsa-miR-1243"	3.74385603250253	0.0351405128886727	0.4735234082701	0.0742107196285182	0.940842716342578	0.999813126449793	"none"	"Family history"
"hsa-miR-1244"	6.98809445732882	-0.413946614196248	0.325500155508539	-1.2717247816657	0.203470922382092	0.999813126449793	"none"	"Family history"
