""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"regulation"	"trait"
"hsa-miR-125a-5p"	25.9860198468926	-3.34715638983414	0.601054798689479	-5.56880403772197	2.56493754479342e-08	5.2247777787442e-05	"Down"	"Obesity"
"hsa-miR-3129-3p"	1.69907770708424	-3.9134635505157	0.818289361278005	-4.78249349888119	1.73133988512113e-06	0.000924602285720924	"Down"	"Obesity"
"hsa-miR-483-5p"	116.351816943864	1.18454794881694	0.248180264319178	4.77293370633825	1.81561568133711e-06	0.000924602285720924	"Up"	"Obesity"
"hsa-miR-5000-3p"	2.15562853138455	-3.85140651318599	0.806437019438646	-4.77583049928304	1.78967094273255e-06	0.000924602285720924	"Down"	"Obesity"
"hsa-miR-193a-5p"	51.5986088235208	0.913753583503381	0.209650720924565	4.35845667247747	1.30982846502567e-05	0.0038116008332247	"none"	"Obesity"
"hsa-miR-3670"	1.48201749615748	-3.57502130081219	0.809683001744669	-4.41533451129502	1.00853910275337e-05	0.0038116008332247	"Down"	"Obesity"
"hsa-miR-520d-3p"	1.52291861222566	-3.35558440564072	0.766455899990416	-4.37805280862563	1.19744339776923e-05	0.0038116008332247	"Down"	"Obesity"
"hsa-miR-7155-5p"	1.76426574526345	-3.28944384763882	0.767269847224273	-4.28720594135027	1.80934536614726e-05	0.00460704563855246	"Down"	"Obesity"
"hsa-miR-3618"	1.4056904877611	-3.36181729267727	0.796241140231098	-4.22210951283119	2.42026459548706e-05	0.00493007898100714	"Down"	"Obesity"
"hsa-miR-508-5p"	1.72537318344185	-3.79154632315829	0.896661635856419	-4.2285140475949	2.35239830914108e-05	0.00493007898100714	"Down"	"Obesity"
"hsa-miR-557"	1.64799909155921	-3.32012962561671	0.800781422222391	-4.14611220175716	3.38168161650243e-05	0.0062622595025595	"Down"	"Obesity"
"hsa-miR-4779"	1.72591898890314	-3.11774877306778	0.768513943789677	-4.05685387787971	4.97381779738617e-05	0.00844305571106302	"Down"	"Obesity"
"hsa-miR-671-5p"	39.6253394331738	0.600042450190817	0.148906403945583	4.0296618163588	5.58571540751045e-05	0.00875238637315292	"none"	"Obesity"
"hsa-miR-548ad-5p"	1.39861076271378	-2.95807192713909	0.743572340796617	-3.97818983418614	6.94419210269045e-05	0.0100622796403347	"Down"	"Obesity"
"hsa-miR-99a-5p"	46.2649986005965	0.727524426284255	0.183591535948569	3.96273402542949	7.40963154663821e-05	0.0100622796403347	"none"	"Obesity"
"hsa-miR-449c-5p"	1.65284543581906	-3.18809757286515	0.816749550489993	-3.90339678907998	9.48520090641655e-05	0.0120758464039816	"Down"	"Obesity"
"hsa-miR-4664-5p"	1.99173121785685	-3.19161619691018	0.83305948946293	-3.83119841653541	0.000127520614304622	0.0139163657662603	"Down"	"Obesity"
"hsa-miR-6074"	1.21420570288189	-3.29169685929405	0.863015620266085	-3.81417993138891	0.00013663589363044	0.0139163657662603	"Down"	"Obesity"
"hsa-miR-6736-3p"	1.89148541730613	-3.11442946171036	0.814235580814162	-3.82497342918399	0.000130786191293161	0.0139163657662603	"Down"	"Obesity"
"hsa-miR-892c-3p"	1.81664093304222	-3.05040859896117	0.793986538346615	-3.84188956819506	0.000122090768092971	0.0139163657662603	"Down"	"Obesity"
"hsa-miR-3939"	2.48437807286961	-3.25457837080818	0.856909470370799	-3.79804224756656	0.000145843469384683	0.0141468165303142	"Down"	"Obesity"
"hsa-miR-144-3p"	125.206964153489	-1.24889131321009	0.332151609822601	-3.7600037942827	0.000169910779928368	0.015732193577913	"Down"	"Obesity"
"hsa-miR-4451"	1.54916107414209	-3.22687923477684	0.861355035065814	-3.74628243106547	0.00017947452071668	0.015895199943473	"Down"	"Obesity"
"hsa-miR-575"	2.6960770292641	-2.47599051099897	0.663468560261384	-3.73188822997659	0.000190049828770829	0.0161304792169241	"Down"	"Obesity"
"hsa-miR-3913-3p"	2.30354413045412	-2.85344769499015	0.770859737244551	-3.70164318763079	0.000214207715278242	0.0174536446408712	"Down"	"Obesity"
"hsa-miR-148a-3p"	113.650928397929	-2.72366413512016	0.751251080925457	-3.62550444754756	0.000288397932747497	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-4722-3p"	1.40625081082176	-3.08371205467625	0.851607751438842	-3.62104742408243	0.000293412719357163	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-6719-3p"	1.66649435495	-2.92105055432658	0.806791279426201	-3.62057774893658	0.000293945901672661	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-6751-5p"	1.76845845473991	-2.87967357296298	0.790176466240856	-3.64434236653819	0.000268076376370009	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-6775-5p"	1.95382362997479	-3.16012120115653	0.86369222344323	-3.65885105293441	0.000253348524719411	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-6851-3p"	1.62459852096628	-3.01861022135807	0.826725893186171	-3.65128302649921	0.000260933491353903	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-7843-3p"	1.68269951219925	-3.08010608801545	0.84767236288539	-3.63360447134443	0.00027948920520964	0.0187114938033503	"Down"	"Obesity"
"hsa-miR-193b-5p"	15.1439053141173	1.00234417885877	0.285113548692476	3.51559644729441	0.00043876735917959	0.0270501989229856	"Up"	"Obesity"
"hsa-miR-320e"	21.2202439371395	0.737507951308632	0.21023642662507	3.50799318247492	0.000451500620216745	0.0270501989229856	"none"	"Obesity"
"hsa-miR-802"	2.56699679467557	-2.1374855908301	0.618405789510212	-3.45644498658886	0.000547350921514791	0.0318558236321609	"Down"	"Obesity"
"hsa-miR-6774-5p"	1.39412989623381	-2.9262268501008	0.852425058509745	-3.43282593688245	0.000597325443289571	0.0337986646661349	"Down"	"Obesity"
"hsa-miR-429"	2.77132087675149	2.48665441920313	0.726626976633553	3.42218841189154	0.000621192514326351	0.0341991662616967	"Up"	"Obesity"
"hsa-miR-4771"	2.66224083207843	-2.1658387060323	0.636702920982918	-3.40164719629173	0.000669810465607895	0.0359053662748232	"Down"	"Obesity"
"hsa-miR-4738-5p"	1.55808427914316	-2.82115304405753	0.86670890429193	-3.25501795364882	0.00113385197823329	0.059221961016954	"none"	"Obesity"
"hsa-miR-1273e"	1.54483988590196	-2.94698211667315	0.918532214452434	-3.20836011008056	0.00133494233566589	0.0679819384437853	"none"	"Obesity"
"hsa-miR-3646"	1.53621335385791	-2.65620118185214	0.840938953220563	-3.15861356128126	0.00158521535454478	0.078758138468481	"none"	"Obesity"
"hsa-let-7c-5p"	114.794800797292	2.54071300252996	0.814819525430762	3.11812974926784	0.00182002660097923	0.0805955257868412	"none"	"Obesity"
"hsa-miR-122-5p"	9.4328630467398	0.955773305122532	0.305899866812973	3.12446460039452	0.00178128953839993	0.0805955257868412	"none"	"Obesity"
"hsa-miR-320c"	154.842782119293	0.551216728133955	0.17667013541248	3.12003342753432	0.00180830517776762	0.0805955257868412	"none"	"Obesity"
"hsa-miR-4304"	32.581498126424	0.476050525612021	0.151443477934835	3.14342045034691	0.00166985796531236	0.0805955257868412	"none"	"Obesity"
"hsa-miR-5047"	7.90610136492302	-1.00323860463504	0.321340580833566	-3.12204142418805	0.0017960166561683	0.0805955257868412	"none"	"Obesity"
"hsa-miR-1202"	2.77986863787323	-1.63386370065108	0.530411624727886	-3.08036932917768	0.00206744051413487	0.0825760064175047	"none"	"Obesity"
"hsa-miR-326"	173.931065172024	0.674567562128423	0.218565752233752	3.0863369728986	0.00202639032737339	0.0825760064175047	"none"	"Obesity"
"hsa-miR-3614-3p"	2.29830994886078	-2.64105841022734	0.852742414532393	-3.09713503775414	0.00195400839745561	0.0825760064175047	"none"	"Obesity"
"hsa-miR-490-3p"	6.75006287690225	1.26031276950401	0.408384637392086	3.08609250718213	0.00202805715640486	0.0825760064175047	"none"	"Obesity"
"hsa-miR-6754-3p"	1.90981864128756	-2.53133712572035	0.818652951864522	-3.09207597670674	0.00198761969853908	0.0825760064175047	"none"	"Obesity"
"hsa-miR-4652-5p"	2.64572228708418	-1.82060002079577	0.597933714511926	-3.04481914401142	0.0023282026796905	0.0912028626640296	"none"	"Obesity"
"hsa-miR-4685-5p"	5.18875936650929	-1.23515544043751	0.406547298203295	-3.03815926436157	0.00238028118503987	0.091483637243891	"none"	"Obesity"
"hsa-miR-378d"	22.0051469579403	0.542916872846371	0.18063208588722	3.0056502430324	0.00265013636051728	0.099969032710624	"none"	"Obesity"
"hsa-miR-6780b-5p"	3.17651663442648	-1.73557815276525	0.586233423096574	-2.96055817424681	0.00307082121023171	0.11226519615771	"none"	"Obesity"
"hsa_piR_016735/gb/DQ593039/Homo"	157.090413786992	-1.57416134044163	0.531989866653364	-2.95900625014597	0.0030863284167068	0.11226519615771	"none"	"Obesity"
