""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"regulation"	"trait"
"hsa-miR-5588-5p"	3.28256153911003	4.81002279350538	0.548597756103713	8.7678499228058	1.82110346375273e-18	3.70958775566432e-15	"Up"	"T22D"
"hsa-miR-3129-3p"	1.69907770708424	-4.40592888258642	0.548192002771502	-8.03720021509126	9.19144190649495e-16	9.3614835817651e-13	"Down"	"T22D"
"hsa-miR-548al"	2.93422333151215	4.62753099072074	0.587135535796124	7.88153792198263	3.23375939621486e-15	2.19572263002989e-12	"Up"	"T22D"
"hsa-miR-520d-3p"	1.52291861222566	-3.94001840332262	0.514413602472497	-7.65924226028466	1.87033295658139e-14	9.52467058139075e-12	"Down"	"T22D"
"hsa-miR-892c-3p"	1.81664093304222	-3.95746388539931	0.541589666440098	-7.30712591215405	2.72916800187314e-13	1.11186304396312e-10	"Down"	"T22D"
"hsa-miR-449c-5p"	1.65284543581906	-3.96222720982192	0.560519963168894	-7.06884227177477	1.5623159976822e-12	4.67127703251725e-10	"Down"	"T22D"
"hsa-miR-4664-5p"	1.99173121785685	-4.10887283081524	0.581574955085709	-7.06507870547777	1.60524983935301e-12	4.67127703251725e-10	"Down"	"T22D"
"hsa-miR-557"	1.64799909155921	-3.96858785161506	0.566658832625542	-7.00348714803776	2.49668824179789e-12	6.35719243567787e-10	"Down"	"T22D"
"hsa-miR-5000-3p"	2.15562853138455	-4.06678015762007	0.58428894662944	-6.96022093363209	3.39739516218911e-12	7.68943771708801e-10	"Down"	"T22D"
"hsa-miR-4451"	1.54916107414209	-4.10780636984469	0.614440118134976	-6.68544622755624	2.3022204604786e-11	4.68390486352172e-09	"Down"	"T22D"
"hsa-miR-7155-5p"	1.76426574526345	-3.67206588580792	0.550398087838049	-6.67165451143138	2.52935461456745e-11	4.68390486352172e-09	"Down"	"T22D"
"hsa-miR-3939"	2.48437807286961	-4.08046330904202	0.620263927928698	-6.57859199174821	4.74924007031835e-11	8.06183501936539e-09	"Down"	"T22D"
"hsa-miR-3913-3p"	2.30354413045412	-3.49556659754866	0.550505129357076	-6.34974391906403	2.15673643774923e-10	3.37944009515014e-08	"Down"	"T22D"
"hsa-miR-6751-5p"	1.76845845473991	-3.63652938466992	0.57376991481433	-6.33795758679102	2.32830897105162e-10	3.3876895528801e-08	"Down"	"T22D"
